encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
1	Gipuzkoa	Hombre	25	1	7	1	0	0	0	5	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	0	1	1	0
2	Araba	Mujer	44	1	20	0	0	0	0	10	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
3	Bizkaia	Hombre	53	1	35	0	0	0	0	100	2	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	1	1	0	1
4	Araba	Hombre	35	1	12	1	0	0	0	20	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	1	1
5	Araba	Hombre	43	1	17	1	0	0	0	80	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
6	Bizkaia	Hombre	40	1	20	0	1	0	0	100	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	0	1	0	1
7	Gipuzkoa	Hombre	64	1	46	1	0	0	0	15	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
8	Gipuzkoa	Hombre	67	1	49	0	0	0	0	30	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
9	Bizkaia	Hombre	62	1	40	0	0	0	0	50	3	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
10	Araba	Mujer	68	1	35	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	1	0
11	Gipuzkoa	Hombre	44	1	25	1	0	0	0	20	0	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	0	1	1	0
12	Araba	Hombre	49	1	31	0	0	0	0	300	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	1
13	Bizkaia	Hombre	38	1	15	0	1	0	0	200	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
14	Bizkaia	Hombre	64	1	46	1	0	0	0	300	50	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	1	1
15	Gipuzkoa	Hombre	27	1	8	1	0	0	0	80	2	Muy bajos	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	1	0	0	0
16	Bizkaia	Mujer	46	1	8	0	0	0	0	35	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
17	Bizkaia	Hombre	32	1	5	0	1	0	0	0	0	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
18	Bizkaia	Hombre	69	1	30	0	0	0	0	30	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	0
19	Gipuzkoa	Mujer	43	1	25	0	0	1	0	40	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
20	Gipuzkoa	Mujer	56	1	38	0	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
21	Bizkaia	Mujer	22	1	3	0	0	0	0	350	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
22	Bizkaia	Hombre	53	1	25	0	0	0	0	300	0	Estan ok	Alguna vez	A veces	A veces	Siempre	Estan ok	0	1	0	1
23	Gipuzkoa	Mujer	44	1	26	1	0	0	0	200	1	Estan ok	Alguna vez	A veces	A veces	Siempre	Estan ok	1	0	0	0
24	Bizkaia	Hombre	64	1	43	1	0	0	0	20	0	Estan ok	Nunca	A veces	Nunca	Siempre	Estan ok	0	0	0	0
25	Araba	Mujer	53	1	15	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	1	1	1
26	Araba	Hombre	28	1	8	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
27	Bizkaia	Mujer	31	1	7	0	0	0	0	250	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	1
28	Araba	Hombre	36	1	17	1	1	0	0	50	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	0	1	1	1
29	Bizkaia	Mujer	29	1	6	0	0	0	0	100	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
30	Gipuzkoa	Mujer	39	1	20	1	0	0	0	100	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	0	1	0	1
31	Araba	Hombre	44	1	24	0	0	0	0	300	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	1	1
32	Gipuzkoa	Mujer	48	1	30	0	0	0	0	400	2	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay demasiados	1	1	1	1
33	Araba	Mujer	26	1	5	0	0	0	0	50	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
34	Gipuzkoa	Mujer	30	1	2	0	0	0	0	1	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
35	Bizkaia	Hombre	54	1	35	0	0	0	0	2000	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	0	1
36	Araba	Mujer	57	1	30	0	0	0	0	5	2	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	1	1	0	0
37	Bizkaia	Hombre	41	1	23	0	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	1	1
38	Bizkaia	Hombre	65	1	30	1	0	0	0	40	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
39	Gipuzkoa	Hombre	26	1	7	1	0	0	0	350	2	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
40	Bizkaia	Hombre	74	1	50	0	0	0	0	200	4	Muy altos	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	1	1	1
41	Gipuzkoa	Mujer	45	1	28	0	1	0	0	500	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	1	1
42	Araba	Mujer	41	1	20	1	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
43	Gipuzkoa	Hombre	66	1	48	0	0	0	0	300	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	1
44	Bizkaia	Mujer	26	1	3	0	0	0	0	0	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
45	Bizkaia	Hombre	41	1	18	1	1	1	0	500	4	Muy bajos	Bastante/Mucho	A veces	Nunca	Siempre	Estan ok	1	1	0	1
46	Gipuzkoa	Hombre	45	1	25	1	0	0	0	300	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
47	Bizkaia	Mujer	36	1	18	1	0	1	0	300	1	Estan ok	Alguna vez	A veces	A veces	Siempre	Hay que cambiarlos de sitio	1	1	0	1
48	Gipuzkoa	Hombre	80	1	60	1	0	0	0	95	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
49	Gipuzkoa	Mujer	29	1	10	0	0	0	0	20	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
50	Gipuzkoa	Mujer	45	1	33	0	0	0	0	50	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	1	0	0	0
51	Gipuzkoa	Hombre	54	1	35	1	1	0	0	170	3	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	1	1
52	Bizkaia	Hombre	61	1	43	0	0	0	0	200	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	No debe haber ninguno	1	1	0	1
53	Bizkaia	Mujer	32	1	5	0	0	1	0	15	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
54	Bizkaia	Hombre	66	1	31	0	0	0	0	1000	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	1	0	1
55	Araba	Mujer	65	1	45	0	0	0	0	50	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
56	Araba	Hombre	35	1	17	1	0	0	0	300	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
57	Gipuzkoa	Hombre	19	1	1	0	0	0	0	500	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
58	Araba	Mujer	22	1	2	1	0	0	0	5	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
59	Araba	Hombre	72	1	49	0	0	0	0	200	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
60	Bizkaia	Hombre	82	1	50	0	0	0	0	50	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
61	Araba	Hombre	71	1	45	0	0	0	0	200	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	1	1	1	1
62	Gipuzkoa	Hombre	79	1	50	0	0	0	0	300	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
63	Bizkaia	Mujer	50	1	25	0	0	0	0	1	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
