encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
1	Araba	Mujer	41	1	20	1	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
2	Bizkaia	Hombre	75	1	40	0	0	0	0	1500	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
3	Gipuzkoa	Mujer	75	1	34	0	0	0	0	30	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
4	Araba	Mujer	41	1	20	1	0	0	0	300	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
5	Bizkaia	Hombre	82	1	50	0	0	0	0	50	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
6	Bizkaia	Mujer	65	1	45	0	0	0	0	1	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
7	Bizkaia	Hombre	30	1	11	0	0	0	0	20	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	0	0	0
8	Gipuzkoa	Mujer	43	1	25	0	0	1	0	40	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
9	Bizkaia	Hombre	35	1	16	0	1	1	0	300	0	Muy bajos	Bastante/Mucho	A veces	A veces	Siempre	Hay que cambiarlos de sitio	0	1	1	0
10	Bizkaia	Mujer	67	1	44	0	0	0	0	50	3	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
11	Araba	Mujer	22	1	3	1	0	0	0	20	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
12	Bizkaia	Hombre	45	1	20	0	0	1	0	10	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
13	Bizkaia	Hombre	46	1	20	0	0	0	0	20	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
14	Bizkaia	Mujer	29	1	6	0	0	0	0	100	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
15	Araba	Mujer	68	1	35	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	1	0
16	Bizkaia	Hombre	23	1	4	1	0	0	0	300	0	Muy altos	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
17	Gipuzkoa	Mujer	27	1	2	0	0	0	0	350	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
18	Bizkaia	Mujer	25	1	3	0	0	0	0	20	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
19	Gipuzkoa	Mujer	43	1	25	1	0	0	0	150	1	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	1	0	0	0
20	Gipuzkoa	Hombre	67	1	49	0	0	0	0	30	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
21	Gipuzkoa	Mujer	62	1	30	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
22	Bizkaia	Mujer	54	1	36	0	0	0	0	100	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
23	Bizkaia	Hombre	40	1	22	1	0	0	0	90	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	1	0	1
