"edad" "sexo" "mes" "periodo" "casos" "poblacion" "estacion"
"1" 1 "2" "12" "1997" 2 110324 "1"
"2" 1 "2" "8" "1997" 1 110324 "2"
"3" 2 "2" "9" "1997" 0 120910 "2"
"4" 3 "2" "1" "1997" 1 146712 "1"
"5" 1 "1" "11" "1997" 1 116134 "1"
"6" 2 "2" "10" "1997" 3 120910 "2"
"7" 3 "1" "5" "1997" 3 154741 "2"
"8" 1 "2" "6" "1997" 0 110324 "2"
"9" 1 "2" "10" "1997" 0 110324 "2"
"10" 3 "2" "3" "1997" 3 146712 "1"
"11" 2 "2" "2" "1997" 0 120910 "1"
"12" 3 "2" "2" "1997" 3 146712 "1"
"13" 3 "2" "6" "1997" 2 146712 "2"
"14" 2 "1" "10" "1997" 1 127966 "2"
"15" 3 "1" "1" "1997" 3 154741 "1"
"16" 1 "2" "2" "1997" 4 110324 "1"
"17" 2 "2" "4" "1997" 0 120910 "2"
"18" 1 "1" "4" "1997" 4 116134 "2"
"19" 3 "1" "7" "1997" 1 154741 "2"
"20" 1 "2" "7" "1997" 1 110324 "2"
"21" 3 "1" "2" "1997" 2 154741 "1"
"22" 1 "2" "11" "1997" 1 110324 "1"
"23" 2 "2" "3" "1997" 3 120910 "1"
"24" 2 "1" "3" "1997" 3 127966 "1"
"25" 3 "1" "4" "1997" 1 154741 "2"
"26" 1 "2" "5" "1997" 0 110324 "2"
"27" 2 "1" "6" "1997" 1 127966 "2"
"28" 2 "2" "11" "1997" 5 120910 "1"
"29" 3 "2" "5" "1997" 1 146712 "2"
"30" 1 "2" "3" "1997" 2 110324 "1"
"31" 3 "2" "11" "1997" 0 146712 "1"
"32" 2 "1" "12" "1997" 4 127966 "1"
"33" 2 "1" "11" "1997" 1 127966 "1"
"34" 2 "2" "6" "1997" 1 120910 "2"
"35" 1 "1" "6" "1997" 1 116134 "2"
"36" 2 "1" "7" "1997" 0 127966 "2"
"37" 3 "1" "8" "1997" 1 154741 "2"
"38" 1 "2" "1" "1997" 2 110324 "1"
"39" 2 "2" "8" "1997" 0 120910 "2"
"40" 2 "1" "9" "1997" 3 127966 "2"
"41" 1 "1" "5" "1997" 2 116134 "2"
"42" 3 "2" "12" "1997" 4 146712 "1"
"43" 1 "1" "1" "1997" 2 116134 "1"
"44" 1 "1" "3" "1997" 1 116134 "1"
"45" 2 "1" "4" "1997" 3 127966 "2"
"46" 2 "2" "12" "1997" 0 120910 "1"
"47" 3 "1" "11" "1997" 4 154741 "1"
"48" 3 "2" "10" "1997" 3 146712 "2"
"49" 2 "2" "5" "1997" 1 120910 "2"
"50" 1 "2" "9" "1997" 1 110324 "2"
"51" 3 "1" "6" "1997" 3 154741 "2"
"52" 2 "1" "5" "1997" 0 127966 "2"
"53" 1 "1" "9" "1997" 0 116134 "2"
"54" 2 "2" "7" "1997" 2 120910 "2"
"55" 3 "1" "3" "1997" 2 154741 "1"
"56" 3 "2" "8" "1997" 0 146712 "2"
"57" 2 "1" "1" "1997" 4 127966 "1"
"58" 2 "1" "8" "1997" 2 127966 "2"
"59" 2 "2" "1" "1997" 0 120910 "1"
"60" 1 "2" "4" "1997" 1 110324 "2"
"61" 1 "1" "7" "1997" 2 116134 "2"
"62" 3 "2" "7" "1997" 4 146712 "2"
"63" 3 "2" "4" "1997" 1 146712 "2"
"64" 3 "1" "12" "1997" 1 154741 "1"
"65" 1 "1" "8" "1997" 1 116134 "2"
"66" 3 "2" "9" "1997" 5 146712 "2"
